,descripteur,disparition,envergure,espece,famille,genre,image,localisation,ordre,poids,taille,text,title,id,class_bird,french name
10,"Lafresnaye, 1835",,  27 à 28 cm.,brunneicapillus,"
 ",Troglodytidés,https://www.oiseaux.net/photos/serge.nicolle/images/troglodyte.des.cactus.seni.0p.jpg,https://www.oiseaux.net/maps/images/troglodyte.des.cactus.1.200.w.png,Passériformes,  32 à 47 g,  19 cm,"En raison de sa grande taille, de ses ailes et sa queue fortement marquées, des bordures blanches de ses rectrices et des importantes taches noires qui maculent sa poitrine, il ne peut être confondu avec aucune autre espèce de troglodyte. On peut, à la rigueur, le prendre pour un Moqueur des armoises, mais ce dernier s'en distingue par son dos uni, son absence de marques aux rémiges et sa double barre alaire. 
Le troglodyte des cactus présente un capuchon brun-chocolat, absolument sans marque. La nuque affiche la même couleur avec cependant quelques stries blanches au centre des plumes. Le dos est plus gris-brun, avec des stries centrales plus larges et plus longues encadrées de noir. Ces stries se poursuivent sur le bas du dos, le croupion et les couvertures sus-caudales. Les tertiaires sont largement barrées d'une couleur qui varie du chamois clair au brun foncé. Les filets extérieurs des primaires et des secondaires présentent une alternance de zones chamois, blanches et noires, ce qui provoque l'émergence de 5 ou 6 barres bien visibles sur l'aile fermée. Les couvertures alaires portent des mouchetures chamois brunâtre. Les rectrices centrales sont recouvertes de barres noir brunâtre et gris-brun clair. Les 4 rectrices extérieures ont des bandes subterminales blanches. Le sourcil blanc part du bec et se poursuit jusqu'en arrière des couvertures auriculaires. Les couvertures auriculaires sont vaguement striées de gris et de noir. Le menton est blanc. La gorge et la poitrine portent de larges motifs noirs sur un fond blanchâtre. Les parties inférieures virent au chamois ou au chamois-orange sur le centre de la poitrine, le ventre, la zone anale et le dessous de la queue avec de petites taches noires. L'iris est brun rougeâtre foncé, le bec noirâtre terne avec une zone plus pâle à la base de la mandibule inférieure. Les pattes sont brunes ou brun-rosâtre. 
Les juvéniles diffèrent par leurs marques pectorales noires moins imposantes et par l'absence de stries blanches sur la nuque et le dos. L'orange-chamois de la zone anale est bien plus terne. L'iris est gris-brun trouble.",Troglodyte des cactus,194,194.Cactus_Wren,Troglodyte des cactus
11,"Latham, 1790",LC,  29 cm.,ludovicianus,"
 ",Troglodytidés,https://www.oiseaux.net/photos/serge.nicolle/images/troglodyte.de.caroline.seni.0p.jpg,,Passériformes,  18 à 22 g,  14 cm,"Chez les adultes, le capuchon et le dos sont brun éclatant devenant plus châtain sur le croupion et les sus-caudales. Les épaules et les grandes couvertures sont également brunes avec une série de petites taches blanches qui tapissent les couvertures primaires. Les secondaires portent des barres sombres sur l'ensemble des filets. Les primaires ne sont barrées que sur les filets extérieurs mais ces marques sont plus sombres et plus visibles. Les rectrices sont brunes, moins châtain que le croupion. Elles sont recouvertes par une vingtaine de barres transversales sombres qui s'étalent à espace régulier sur l'ensemble de la queue. L'œil est surmonté par un évident sourcil blanchâtre qui se poursuit jusqu'aux épaules. Ce trait oculaire est bordé de noir au-dessus et en dessous. Les oreillons sont mouchetés de gris. Le menton et la gorge sont gris sans tache, virant au chamois sur la poitrine et au chamois éclatant sur les flancs et le bas du ventre. Le dessous des ailes est chamois grisâtre. L'iris est brun-rouge. La mandibule supérieure est couleur citron avec une tache claire à la base. La mandibule inférieure est citron pâle. Les pattes sont couleur chair. 

Les juvéniles sont semblables aux adultes quoique légèrement plus pâles. Les couvertures alaires ont des terminaisons chamois. Les plumes de la zone anale sont ébouriffées. L'ensemble du plumage ne porte généralement pas de barres.",Troglodyte de Caroline,195,195.Carolina_Wren,Troglodyte de Caroline
12,"Audubon, 1827",LC,  18 cm.,bewickii,"
 ",Troglodytidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/troglodyte.de.bewick.bkma.1p.jpg,,Passériformes,  8 à 12 g,  14 cm,"Chez les adultes, le capuchon, le dos et les épaules sont brun foncé éclatant, devenant plus roux sur le croupion et le bas du dos. Les plumes du bas du dos ont des taches blanches partiellement masquées. Les primaires et les secondaires sont gris-brun terne, les filets extérieurs portant de barres sombres qui sont particulièrement visibles sur l'aile fermée. Les tertiaires sont entièrement recouvertes de barres transversales. Les rectrices centrales portent une quinzaine de barres noires bien évidentes. Les plumes extérieures noirâtres ont une large bordure gris-blanc. Les lores sont grisâtres, un large sourcil chamois blanc se poursuit jusqu'en arrière de l'œil. La zone située en arrière de l'orbite est brun-roux, contrastant avec les mouchetures grisâtres des oreillons. Le menton et la gorge sont blanchâtres virant au gris-blanc sur la poitrine et au chamois-blanc sur le ventre. La partie inférieure des flancs est brune. Les iris sont bruns, le bec brun noirâtre avec une tache claire sur la mandibule inférieure. Les pattes sont brun sombre.
Les juvéniles ont un plumage moins foncé que celui des adultes. Les plumes des parties inférieures ont souvent de larges bordures sombres.",Troglodyte de Bewick,193,193.Bewick_Wren,Troglodyte de Bewick
13,"Audubon, 1839",,  - ,chlorurus,"
 ",Passerellidés,https://www.oiseaux.net/photos/serge.nicolle/images/tohi.a.queue.verte.seni.0p.jpg,https://www.oiseaux.net/maps/images/tohi.a.queue.verte.1.200.w.png,Passériformes,  - ,  18 cm,Tohi à queue verte (Pipilo chlorurus) est un oiseau qui appartient à la famille des Passerellidés.,Tohi à queue verte,148,148.Green_tailed_Towhee,Tohi à queue verte
14,"Latham, 1790",,  20 à 27 cm.,carolinensis,"
 ",Sittidés,https://www.oiseaux.net/photos/denis.chavigny/images/sittelle.a.poitrine.blanche.dcha.1p.jpg,,Passériformes,  18 à 30 g,  15 cm,Sittelle à poitrine blanche (Sitta carolinensis) est un oiseau qui appartient à la famille des Sittidés.,Sittelle à poitrine blanche,94,094.White_breasted_Nuthatch,Sittelle à poitrine blanche
15,"Gmelin, JF, 1789",,  22 à 26 cm.,purpureus,"
 ",Fringillidés,https://www.oiseaux.net/photos/denis.chavigny/images/roselin.pourpre.dcha.0p.jpg,,Passériformes,  18 à 31 g,  15 cm,Roselin pourpré (Haemorhous purpureus) est un oiseau qui appartient à la famille des Fringillidés.,Roselin pourpré,35,035.Purple_Finch,Roselin pourpré
16,"Vieillot, 1819",LC,  39 à 50 cm.,major,"
 ",Ictéridés,https://www.oiseaux.net/photos/serge.nicolle/images/quiscale.des.marais.seni.0p.jpg,,Passériformes,  93 à 239 g,  39 cm,"Les deux sexes sont dimorphiques. Chez l'adulte mâle, le bec est noir, les iris sont brun sombre (jaunâtres chez certaines sous-espèces). Le plumage est entièrement noir avec un lustre violet sur la tête. Les reflets deviennent bleu verdâtre sur la poitrine et sur le dos jusqu'à la queue. La zone anale est noirâtre et n'a pas de reflets irisés. Les ailes et la queue ont de vagues reflets verts. Les pattes et les pieds sont noirs. La femelle adulte affiche une couleur brun sombre sur la tête, les parties supérieures, les ailes et la queue. Les ailes et la queue peuvent présenter un léger lustre verdâtre. Les parties inférieures sont plus claires et l'œil est surmonté par un large sourcil chamois. Les joues sont parfois traversées par une vague strie plus foncée. La teinte chamois clair ou chamois-cannelle du dessous s'étend jusqu'aux pattes. La zone anale et les cuisses sont brun sombre. 
Les immatures mâles sont semblables aux adultes mais les zones irisées sont plus restreintes. La queue en forme de quille de bateau est plus courte. Les cuisses sont brunes et non pas noires. Les immatures femelles sont comme la femelle adulte mais leur dessus est plus pâle et leur dessous plus cannelle. Les juvéniles ressemblent aux femelles adultes mais ils ont une apparence entièrement cannelle et ils n'ont aucun reflet lustré. 
Les Quiscales des marais peuvent âtre confondus avec les Quiscales bronzés ou les Quiscales à longue queue.",Quiscale des marais,49,049.Boat_tailed_Grackle,Quiscale des marais
17,"Wagler, 1829",LC,  37 cm.,cyanocephalus,"
 ",Ictéridés,https://www.oiseaux.net/photos/serge.nicolle/images/quiscale.de.brewer.seni.0p.jpg,,Passériformes,  47 à 67 g,  21 à 23 cm,"Les sexes sont différents. Tout au long de l'année, le mâle adulte est entièrement noir, avec des reflets violets sur la tête et sur le cou. Le corps et les ailes affichent des plumes vert brillant. Il y a un contraste assez remarquable entre la couleur de la tête et du corps. Les plumes des ailes et de la queue sont bordées de brun. L'iris est jaune ou jaune clair. Le bec, les pattes et les pieds sont noirs. La femelle, de taille légèrement inférieure à son partenaire, a un aspect général gris-brun, hormis les ailes et la queue qui paraissent plus sombres. La tête et le cou ont une légère brillance violette, moins prononcée que chez le mâle. Le corps possède un faible lustre verdâtre. Les côtés de la tête paraissent plus pâles que le capuchon. L'œil est surmonté par un sourcil sombre. L'iris est brun foncé.

Les juvéniles ressemblent aux femelles adultes, mais ils sont plus pâles et leur plumage n'a aucun reflet. Le quiscale de Brewer peut être confondu avec trois autres ictéridés : le Quiscale bronzé (Quiscalus quiscula), le quiscale rouilleux (Euphagus carolinus) et le Vacher luisant (Molothrus bonariensis).",Quiscale de Brewer,9,009.Brewer_Blackbird,Quiscale de Brewer
18,"Sclater, PL, 1859",LC,  26 cm.,sordidulus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/serge.nicolle/images/pioui.de.l.ouest.seni.1p.jpg,https://www.oiseaux.net/maps/images/pioui.de.l.ouest.1.200.w.png,Passériformes,  11 à 14 g,  16 cm,"Chez la race nominale, le sommet du capuchon est brun grisâtre foncé, les lores sont légèrement plus clairs. L'œil est entouré par un très fin anneau orbital qui est parfois absent. Les côtés de la tête, la nuque et les parties supérieures sont uniformément gris-brun. Les plumes des ailes sont sombres avec, sur les couvertures, des extrémités grisâtres qui forment 2 imperceptibles bandes alaires. 
Des liserés grisâtres sont également visibles sur les secondaires et sur les tertiaires. La queue a un teint mat. La gorge varie du gris clair au blanc, la poitrine et les flancs sont gris terne. Le ventre est plus pâle, avec une légère nuance jaunâtre. Les sous-caudales sont blanchâtres avec des centre gris-brun plus foncé. Le dessous des ailes est gris.
Les iris présentent une teinte brun foncé. La mandibule supérieure est noire, la mandibule inférieure est également noire mais avec une tache orange à la base. Les pattes sont noirâtres. 
La distinction est assez difficile à effectuer avec le pioui de l'est (Contopus virens) qui est généralement plus sombre et plus brun, possède des sous-alaires et des sous-caudales plus foncées ainsi qu'une tache plus claire sur la mandibule inférieure. 
Les sexes sont identiques mais la femelle paraît un peu plus petite. Les juvéniles ressemblent aux parents. Les différentes races se distinguent par la teinte plus ou moins foncée du dessus et par l'apport plus ou moins important de jaune sur les parties inférieures. La race peninsulae, qui niche au Mexique, est plus pâle, présente une fine bande pectorale grise, des liserés plus larges sur les rémiges. Elle a des ailes plus courtes et un bec plus allongé.",Pioui de l'Ouest,102,102.Western_Wood_Pewee,Pioui de l'Ouest
19,"Linnaeus, 1766",,  28 à 32 cm.,ludovicianus,"
 ",Laniidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/pie-grieche.migratrice.bkma.2p.jpg,,Passériformes,  35 à 50 g,  22 cm,"Chez le mâle adulte, le masque facial couvre la base du bec et les lores. Il forme un petit filet noir juste au-dessus et en dessous de l'œil puis il s'élargit considérablement sur les couvertures auriculaires. Le fin sourcil blanchâtre est à peine visible. L'ensemble des parties supérieures est gris-ardoise de la nuque jusqu'au bas du dos, devenant plus pâle sur le croupion et les sus-caudales. Les scapulaires sont blancs formant un ""V"" très net et très contrasté sur le dos. La queue est noire avec des bordures blanches. Les rectrices ont des terminaisons blanches hormis la paire centrale. Les ailes sont noires avec une tache blanche au niveau des couvertures primaires. Les filets intérieurs des primaires, secondaires et tertiaires sont tachés de blanc. Les parties inférieures blanchâtres sont nuancées de gris pâle sur les flancs et affichent de légères vermiculures sur la poitrine. Le dessous de la queue est blanchâtre avec une pointe noire. 

Chez la femelle, le masque facial est brun. Le dessous est plus grisâtre et plus régulièrement vermiculé. Dans certaines régions, elle est plus petite et ses primaires sont plus brunes. Les juvéniles ont un masque brun foncé. Le capuchon est gris brunâtre, le manteau et le haut du dos sont gris-olive alors que le croupion et les sus-caudales sont gris terne ou couleur argile. L'ensemble des parties supérieures est plus ou moins vermiculé. Les scapulaires sont chamois clair, la queue est noire avec des terminaisons chamois cannelle. Les ailes sont noires et la tache des primaires est déjà perceptible. La poitrine et les flancs sont gris brunâtre avec d'abondantes vermiculures, le reste des parties inférieures est blanc. Des barres fuligineuses ornent souvent le côté de la gorge. Le dessous de la queue est entièrement blanc.",Pie-grièche migratrice,111,111.Loggerhead_Shrike,Pie-grièche migratrice
20,"Boddaert, 1783",LC,  - ,rubinus,"
 ",Tyrannidés,https://www.oiseaux.net/photos/denis.chavigny/images/moucherolle.vermillon.dcha.1p.jpg,,Passériformes,  12 à 15 g,  14 cm,"Le Moucherolle vermillon mâle est probablement l'oiseau qui, dans la famille, a la couleur la plus éclatante. Il a la tête d'un rouge vif avec un trait loral sombre et un bandeau brun qui part de l'œil et gagne la nuque en passant par les parotiques. Les plumes de la calotte peuvent se hérisser en huppe. Les parties inférieures, du bec à la queue, sont du même rouge vermillon éclatant. Les parties supérieures sont sombres, les plumes de couverture d'un brun assez chaud et les pennes des ailes et de la queue plutôt d'un brun noirâtre. L'uniformité du dessus est rompue par des liserés clairs aux couvertures et aux rémiges. L'extrémité claire des premières dessine deux fines barres alaires. La partie cachée par les ailes au repos, soit le dos, le croupion et les sus-caudales, est d'un brun plus clair et contraste avec le manteau et la queue très sombres. 
L'iris est sombre, le bec et les pattes noirs.
La femelle diffère totalement du mâle. Ses parties supérieures sont d'un brun plus gris et plus clair, avec le même contraste entre le corps et le reste. La plupart des plumes possèdent des liserées clairs, ce qui participe à la clarté de l'ensemble. La queue est bordée de clair. Le menton, la gorge et le haut de la poitrine sont blancs. Cette dernière possède des stries sombres d'intensité variable mais toujours bien visibles qui évoquent notre Gobemouche gris et se propagent aux flancs. Le bas de la poitrine se colore un peu de beige et cette teinte passe occasionnellement et progressivement, chez certains individus, à une teinte roussâtre, voire rosâtre, plus ou moins vive, au niveau du ventre et des sous-caudales.
Le juvénile ressemble à la femelle, mais avec des stries et des liserés plus marqués. Le mâle immature rappelle la femelle, mais le rouge qui envahit ses parties inférieures révèle son identité. 
L'espèce est monotypique.",Moucherolle vermillon,42,042.Vermilion_Flycatcher,Moucherolle vermillon
21,"Latham, 1790",,  - ,albicollis,"
 ",Corvidés,https://www.oiseaux.net/photos/denis.chavigny/images/corbeau.a.nuque.blanche.dcha.0p.jpg,https://www.oiseaux.net/maps/images/corbeau.a.nuque.blanche.1.200.w.png,Passériformes,  762 à 1157 g,  56 cm,Corbeau à nuque blanche (Corvus albicollis) est un oiseau qui appartient à la famille des Corvidés.,Corbeau à nuque blanche,108,108.White_necked_Raven,Corbeau à nuque blanche
22,"Linnaeus, 1766",LC,  25 à 30 cm.,pubescens,"
 ",Picidés,https://www.oiseaux.net/photos/denis.chavigny/images/pic.mineur.dcha.2p.jpg,,Piciformes,  21 à 28 g,  17 cm,"Chez le mâle adulte, les vibrisses sont blanchâtres. Le capuchon est noir, la nuque rouge. Des épais sourcils blancs surmontent l'œil, s'élargissant à l'arrière de l'orbite et se rejoignant sur la nuque. Les oreillons sont noirs, le bord supérieur formant une bande qui se poursuit jusqu'au bas de la nuque. Une très longue bande blanche parcourt le dessous de l'œil et se prolonge jusqu'à l'arrière du cou. Cette dernière est soulignée par une épaisse moustache noire qui atteint les côtés du manteau. Le menton et la gorge sont blancs ou blanc grisâtre. Les parties supérieures sont entièrement noires, hormis une tache centrale blanche qui part de la moitié du manteau jusqu'en bas du dos. Le dessus des ailes est noir. Les plumes des couvertures sont également noires mais avec de larges taches subterminales blanches. Les rémiges sont tachées sur les filets extérieurs et barrées sur les filets intérieurs. Le dessus de la queue est noir avec une pointe blanche pour la paire de rectrices centrales. Les rectrices extérieures sont blanches avec d'évidentes barres noires. Les parties inférieures sont entièrement blanc uni ou blanc grisâtre. Le dessous des ailes est blanc et gris. 
La femelle ne possède pas de rouge sur la nuque. Les sourcils ne se rejoignent pas toujours à l'arrière de la tête. Les juvéniles ont un plumage plus terne, plus brunâtre. Les parties inférieures paraissent plus sales, grisâtres ou chamoisées. Les côtés de la poitrine sont finement striés. La partie basse des flancs est variablement barrée. Les jeunes mâles présentent une calotte dont les plumes sont légèrement bordées de rouge. Les jeunes femelles ont une calotte brun-noir, soit unie soit fortement tachetée de blanc ou de chamois clair.",Pic mineur,192,192.Downy_Woodpecker,Pic mineur
23,"Linnaeus, 1758",,  33 à 42 cm.,carolinus,"
 ",Picidés,https://www.oiseaux.net/photos/barry.kent.mackay/images/pic.a.ventre.roux.bkma.0p.jpg,,Piciformes,  56 à 90 g,  24 cm,"Ce petit pic au long bec ciselé ressemble superficiellement au Pic des saguaros en raison de son dessus et de ses ailes fortement barrés de noir et de blanc, de son croupion blanc et de ses parties inférieures claires. Les plumes centrales de sa queue sont largement blanches, avec quelques rayures noires. Les rectrices externes sont barrées de noir et de blanc. L'abdomen est recouvert d'une tache rougeâtre qui n'est pas toujours évidente à apercevoir. Le mâle affiche un capuchon et une nuque d'un rouge éclatant alors que la femelle possède habituellement une calotte grise. En vol, on peut nettement apercevoir une barre alaire blanche à la base des primaires. Le bec est noir. Les pattes et les pieds sont gris à gris-vert. Les iris sont rouge foncé à brun-rouge. 
Chez les juvéniles, les barres des parties supérieures sont moins prononcées, plus blanchâtres que chez les adultes. Le dessous est plus sombre avec des stries noires assez variables sur la poitrine. La tache abdominale rouge est souvent indistincte, voire absente chez les jeunes femelles. Les jeunes mâles ont un capuchon moins développé et moins rouge que celui des adultes. Les jeunes femelles n'ont pas de rouge sur la nuque et l'arrière du cou, mais juste une petite tache écarlate sur le capuchon. Les juvéniles ont des iris bruns.",Pic à ventre roux,189,189.Red_bellied_Woodpecker,Pic à ventre roux
